"setting_index","replication","seed","B","setting"
85,2,867924916,20,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept"
86,2,867924916,20,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_ridge"
87,2,867924916,20,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_lasso"
1,3,533648917,20,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
2,3,74147917,20,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
3,3,533648917,20,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
4,3,74147917,20,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
5,3,533648917,20,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
6,3,74147917,20,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
7,3,888766917,20,"s2_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
8,3,938707917,20,"s2_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
9,3,888766917,20,"s2_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
10,3,938707917,20,"s2_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
11,3,888766917,20,"s2_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
12,3,938707917,20,"s2_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
13,3,1017227917,20,"s3_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
14,3,268360917,20,"s3_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
15,3,833075917,20,"s3_n200_reversed_rho0_g1_k0_dictionary_intercept"
16,3,42143917,20,"s3_n500_reversed_rho0_g1_k0_dictionary_intercept"
17,3,1017227917,20,"s3_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
18,3,268360917,20,"s3_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
19,3,833075917,20,"s3_n200_reversed_rho0_g1_k0_dictionary_ridge"
20,3,42143917,20,"s3_n500_reversed_rho0_g1_k0_dictionary_ridge"
21,3,1017227917,20,"s3_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
22,3,268360917,20,"s3_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
23,3,833075917,20,"s3_n200_reversed_rho0_g1_k0_dictionary_lasso"
24,3,42143917,20,"s3_n500_reversed_rho0_g1_k0_dictionary_lasso"
25,3,24781917,20,"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_intercept"
26,3,734918917,20,"s4_n500_nonprognostic_rho0.0_g1_k0_dictionary_intercept"
27,3,477815917,20,"s4_n200_nonprognostic_rho0.8_g1_k0_dictionary_intercept"
28,3,497265917,20,"s4_n500_nonprognostic_rho0.8_g1_k0_dictionary_intercept"
29,3,24781917,20,"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_ridge"
30,3,734918917,20,"s4_n500_nonprognostic_rho0.0_g1_k0_dictionary_ridge"
31,3,477815917,20,"s4_n200_nonprognostic_rho0.8_g1_k0_dictionary_ridge"
32,3,497265917,20,"s4_n500_nonprognostic_rho0.8_g1_k0_dictionary_ridge"
33,3,24781917,20,"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_lasso"
34,3,734918917,20,"s4_n500_nonprognostic_rho0.0_g1_k0_dictionary_lasso"
35,3,477815917,20,"s4_n200_nonprognostic_rho0.8_g1_k0_dictionary_lasso"
36,3,497265917,20,"s4_n500_nonprognostic_rho0.8_g1_k0_dictionary_lasso"
37,3,482548917,20,"s5_n200_nonprognostic_rho0_g0_k0_linear_intercept"
38,3,361481917,20,"s5_n500_nonprognostic_rho0_g0_k0_linear_intercept"
39,3,689271917,20,"s5_n200_nonprognostic_rho0_g1_k0_linear_intercept"
40,3,293821917,20,"s5_n500_nonprognostic_rho0_g1_k0_linear_intercept"
41,3,530147917,20,"s5_n200_nonprognostic_rho0_g0_k1_linear_intercept"
42,3,903177917,20,"s5_n500_nonprognostic_rho0_g0_k1_linear_intercept"
43,3,296697917,20,"s5_n200_nonprognostic_rho0_g1_k1_linear_intercept"
44,3,593859917,20,"s5_n500_nonprognostic_rho0_g1_k1_linear_intercept"
45,3,665540917,20,"s5_n200_nonprognostic_rho0_g0_k0_sine_intercept"
46,3,420788917,20,"s5_n500_nonprognostic_rho0_g0_k0_sine_intercept"
47,3,515926917,20,"s5_n200_nonprognostic_rho0_g1_k0_sine_intercept"
48,3,912430917,20,"s5_n500_nonprognostic_rho0_g1_k0_sine_intercept"
49,3,393744917,20,"s5_n200_nonprognostic_rho0_g0_k1_sine_intercept"
50,3,439406917,20,"s5_n500_nonprognostic_rho0_g0_k1_sine_intercept"
51,3,502998917,20,"s5_n200_nonprognostic_rho0_g1_k1_sine_intercept"
52,3,1052979917,20,"s5_n500_nonprognostic_rho0_g1_k1_sine_intercept"
53,3,482548917,20,"s5_n200_nonprognostic_rho0_g0_k0_linear_ridge"
54,3,361481917,20,"s5_n500_nonprognostic_rho0_g0_k0_linear_ridge"
55,3,689271917,20,"s5_n200_nonprognostic_rho0_g1_k0_linear_ridge"
56,3,293821917,20,"s5_n500_nonprognostic_rho0_g1_k0_linear_ridge"
57,3,530147917,20,"s5_n200_nonprognostic_rho0_g0_k1_linear_ridge"
58,3,903177917,20,"s5_n500_nonprognostic_rho0_g0_k1_linear_ridge"
59,3,296697917,20,"s5_n200_nonprognostic_rho0_g1_k1_linear_ridge"
60,3,593859917,20,"s5_n500_nonprognostic_rho0_g1_k1_linear_ridge"
61,3,665540917,20,"s5_n200_nonprognostic_rho0_g0_k0_sine_ridge"
62,3,420788917,20,"s5_n500_nonprognostic_rho0_g0_k0_sine_ridge"
63,3,515926917,20,"s5_n200_nonprognostic_rho0_g1_k0_sine_ridge"
64,3,912430917,20,"s5_n500_nonprognostic_rho0_g1_k0_sine_ridge"
65,3,393744917,20,"s5_n200_nonprognostic_rho0_g0_k1_sine_ridge"
66,3,439406917,20,"s5_n500_nonprognostic_rho0_g0_k1_sine_ridge"
67,3,502998917,20,"s5_n200_nonprognostic_rho0_g1_k1_sine_ridge"
68,3,1052979917,20,"s5_n500_nonprognostic_rho0_g1_k1_sine_ridge"
69,3,482548917,20,"s5_n200_nonprognostic_rho0_g0_k0_linear_lasso"
70,3,361481917,20,"s5_n500_nonprognostic_rho0_g0_k0_linear_lasso"
71,3,689271917,20,"s5_n200_nonprognostic_rho0_g1_k0_linear_lasso"
72,3,293821917,20,"s5_n500_nonprognostic_rho0_g1_k0_linear_lasso"
73,3,530147917,20,"s5_n200_nonprognostic_rho0_g0_k1_linear_lasso"
74,3,903177917,20,"s5_n500_nonprognostic_rho0_g0_k1_linear_lasso"
75,3,296697917,20,"s5_n200_nonprognostic_rho0_g1_k1_linear_lasso"
76,3,593859917,20,"s5_n500_nonprognostic_rho0_g1_k1_linear_lasso"
77,3,665540917,20,"s5_n200_nonprognostic_rho0_g0_k0_sine_lasso"
78,3,420788917,20,"s5_n500_nonprognostic_rho0_g0_k0_sine_lasso"
79,3,515926917,20,"s5_n200_nonprognostic_rho0_g1_k0_sine_lasso"
80,3,912430917,20,"s5_n500_nonprognostic_rho0_g1_k0_sine_lasso"
81,3,393744917,20,"s5_n200_nonprognostic_rho0_g0_k1_sine_lasso"
82,3,439406917,20,"s5_n500_nonprognostic_rho0_g0_k1_sine_lasso"
83,3,502998917,20,"s5_n200_nonprognostic_rho0_g1_k1_sine_lasso"
84,3,1052979917,20,"s5_n500_nonprognostic_rho0_g1_k1_sine_lasso"
85,3,867924917,20,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_intercept"
86,3,867924917,20,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_ridge"
87,3,867924917,20,"s6_n250_nonprognostic_rho0_g1_k0_dictionary_lasso"
1,4,533648918,20,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
2,4,74147918,20,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
3,4,533648918,20,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
4,4,74147918,20,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
5,4,533648918,20,"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
6,4,74147918,20,"s1_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
7,4,888766918,20,"s2_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
8,4,938707918,20,"s2_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
9,4,888766918,20,"s2_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
10,4,938707918,20,"s2_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
11,4,888766918,20,"s2_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
12,4,938707918,20,"s2_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
13,4,1017227918,20,"s3_n200_nonprognostic_rho0_g1_k0_dictionary_intercept"
14,4,268360918,20,"s3_n500_nonprognostic_rho0_g1_k0_dictionary_intercept"
15,4,833075918,20,"s3_n200_reversed_rho0_g1_k0_dictionary_intercept"
16,4,42143918,20,"s3_n500_reversed_rho0_g1_k0_dictionary_intercept"
17,4,1017227918,20,"s3_n200_nonprognostic_rho0_g1_k0_dictionary_ridge"
18,4,268360918,20,"s3_n500_nonprognostic_rho0_g1_k0_dictionary_ridge"
19,4,833075918,20,"s3_n200_reversed_rho0_g1_k0_dictionary_ridge"
20,4,42143918,20,"s3_n500_reversed_rho0_g1_k0_dictionary_ridge"
21,4,1017227918,20,"s3_n200_nonprognostic_rho0_g1_k0_dictionary_lasso"
22,4,268360918,20,"s3_n500_nonprognostic_rho0_g1_k0_dictionary_lasso"
23,4,833075918,20,"s3_n200_reversed_rho0_g1_k0_dictionary_lasso"
24,4,42143918,20,"s3_n500_reversed_rho0_g1_k0_dictionary_lasso"
25,4,24781918,20,"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_intercept"
26,4,734918918,20,"s4_n500_nonprognostic_rho0.0_g1_k0_dictionary_intercept"
27,4,477815918,20,"s4_n200_nonprognostic_rho0.8_g1_k0_dictionary_intercept"
28,4,497265918,20,"s4_n500_nonprognostic_rho0.8_g1_k0_dictionary_intercept"
29,4,24781918,20,"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_ridge"
30,4,734918918,20,"s4_n500_nonprognostic_rho0.0_g1_k0_dictionary_ridge"
31,4,477815918,20,"s4_n200_nonprognostic_rho0.8_g1_k0_dictionary_ridge"
32,4,497265918,20,"s4_n500_nonprognostic_rho0.8_g1_k0_dictionary_ridge"
33,4,24781918,20,"s4_n200_nonprognostic_rho0.0_g1_k0_dictionary_lasso"
34,4,734918918,20,"s4_n500_nonprognostic_rho0.0_g1_k0_dictionary_lasso"
35,4,477815918,20,"s4_n200_nonprognostic_rho0.8_g1_k0_dictionary_lasso"
36,4,497265918,20,"s4_n500_nonprognostic_rho0.8_g1_k0_dictionary_lasso"
37,4,482548918,20,"s5_n200_nonprognostic_rho0_g0_k0_linear_intercept"
38,4,361481918,20,"s5_n500_nonprognostic_rho0_g0_k0_linear_intercept"
39,4,689271918,20,"s5_n200_nonprognostic_rho0_g1_k0_linear_intercept"
40,4,293821918,20,"s5_n500_nonprognostic_rho0_g1_k0_linear_intercept"
41,4,530147918,20,"s5_n200_nonprognostic_rho0_g0_k1_linear_intercept"
42,4,903177918,20,"s5_n500_nonprognostic_rho0_g0_k1_linear_intercept"
43,4,296697918,20,"s5_n200_nonprognostic_rho0_g1_k1_linear_intercept"
44,4,593859918,20,"s5_n500_nonprognostic_rho0_g1_k1_linear_intercept"
45,4,665540918,20,"s5_n200_nonprognostic_rho0_g0_k0_sine_intercept"
46,4,420788918,20,"s5_n500_nonprognostic_rho0_g0_k0_sine_intercept"
47,4,515926918,20,"s5_n200_nonprognostic_rho0_g1_k0_sine_intercept"
48,4,912430918,20,"s5_n500_nonprognostic_rho0_g1_k0_sine_intercept"
49,4,393744918,20,"s5_n200_nonprognostic_rho0_g0_k1_sine_intercept"
50,4,439406918,20,"s5_n500_nonprognostic_rho0_g0_k1_sine_intercept"
51,4,502998918,20,"s5_n200_nonprognostic_rho0_g1_k1_sine_intercept"
52,4,1052979918,20,"s5_n500_nonprognostic_rho0_g1_k1_sine_intercept"
53,4,482548918,20,"s5_n200_nonprognostic_rho0_g0_k0_linear_ridge"
54,4,361481918,20,"s5_n500_nonprognostic_rho0_g0_k0_linear_ridge"
55,4,689271918,20,"s5_n200_nonprognostic_rho0_g1_k0_linear_ridge"
56,4,293821918,20,"s5_n500_nonprognostic_rho0_g1_k0_linear_ridge"
57,4,530147918,20,"s5_n200_nonprognostic_rho0_g0_k1_linear_ridge"
58,4,903177918,20,"s5_n500_nonprognostic_rho0_g0_k1_linear_ridge"
59,4,296697918,20,"s5_n200_nonprognostic_rho0_g1_k1_linear_ridge"
60,4,593859918,20,"s5_n500_nonprognostic_rho0_g1_k1_linear_ridge"
61,4,665540918,20,"s5_n200_nonprognostic_rho0_g0_k0_sine_ridge"
62,4,420788918,20,"s5_n500_nonprognostic_rho0_g0_k0_sine_ridge"
63,4,515926918,20,"s5_n200_nonprognostic_rho0_g1_k0_sine_ridge"
