"artifact","run","md5","bytes"
"star/quick/q02_rep01_overlap.csv","star-quick","228cd7ffd160575c59d7573a4d7ffc7c",205
"star/quick/q02_rep01_ridge_subgroups.csv","star-quick","d6d407d5b680d8c8b3694b335fa4adaa",627
"star/quick/q03_rep01_comparator_status.csv","star-quick","bce533003fd7fa36437b3d8fb6e19a09",407
"star/quick/q03_rep01_counts.csv","star-quick","b489a0fbbf4820466c1068086c994311",434
"star/quick/q03_rep01_intercept_subgroups.csv","star-quick","aa6544adfd1204da8d990c11d6322bb8",629
"star/quick/q03_rep01_lasso_subgroups.csv","star-quick","303556a567eb8236008aa225ea3b20f7",628
"star/quick/q03_rep01_overlap.csv","star-quick","f443893c23dcf4d42344306ac96234f6",205
"star/quick/q03_rep01_ridge_subgroups.csv","star-quick","743c42b8021f2424a1ebf0dcc8a99efb",630
"star/quick/q04_rep01_comparator_status.csv","star-quick","bce533003fd7fa36437b3d8fb6e19a09",407
"star/quick/q04_rep01_counts.csv","star-quick","b03db7aeee6d69a101cf575061949f66",433
"star/quick/q04_rep01_intercept_subgroups.csv","star-quick","6bb9de213bfe237a10b80affe87f1114",624
"star/quick/q04_rep01_lasso_subgroups.csv","star-quick","2c821788a23bd412b6689342c9dd32c0",628
"star/quick/q04_rep01_overlap.csv","star-quick","b9a9064e6f52f23eb11f47dc33e7990a",204
"star/quick/q04_rep01_ridge_subgroups.csv","star-quick","c2dd19b2af15eabb85033e655601fa53",627
"star/quick/q05_rep01_comparator_status.csv","star-quick","bce533003fd7fa36437b3d8fb6e19a09",407
"star/quick/q05_rep01_counts.csv","star-quick","c6daf91e40303e45d68abdc5b35875d8",433
"star/quick/q05_rep01_intercept_subgroups.csv","star-quick","afaebab4609fe1cc3ed5c648805596ef",629
"star/quick/q05_rep01_lasso_subgroups.csv","star-quick","a32976a4f512c5026fc4c943efe6a6c0",630
"star/quick/q05_rep01_overlap.csv","star-quick","fa184f79548c626b59a1e2b978202668",205
"star/quick/q05_rep01_ridge_subgroups.csv","star-quick","2905b4798bc8ba9deb2a1c157ca16ab4",630
"star/reconstruction/column_audit.csv","Dataverse-1.0","3586352dccaae48fc1c6b0d0b7945638",746
"star/reconstruction/reconstruction_audit.csv","Dataverse-1.0","4151088be519dac4f9971608f0897f28",270
"star/reconstruction/LICENSE-CC0.txt","Dataverse-1.0","e94a7af8c6830b6e1661e9c96a943463",233
